timestamp,total_memory,used_memory,free_memory
2024-03-13 14:28:51,30068,797,16520
2024-03-13 14:29:11,30068,1423,15895
2024-03-13 14:29:31,30068,1419,15898
2024-03-13 14:29:51,30068,1424,15893
2024-03-13 14:30:11,30068,1414,15904
2024-03-13 14:30:31,30068,1418,15899
2024-03-13 14:30:51,30068,1420,15897
2024-03-13 14:31:11,30068,1364,15953
2024-03-13 14:31:31,30068,1358,15959
2024-03-13 14:31:51,30068,1367,15950
2024-03-13 14:32:11,30068,1366,15951
2024-03-13 14:32:31,30068,1367,15950
2024-03-13 14:32:51,30068,1357,15960
2024-03-13 14:33:11,30068,1360,15957
2024-03-13 14:33:31,30068,1363,15954
2024-03-13 14:33:51,30068,1365,15952
2024-03-13 14:34:11,30068,1365,15952
2024-03-13 14:34:31,30068,1365,15952
2024-03-13 14:34:51,30068,1366,15951
2024-03-13 14:35:11,30068,1357,15960
2024-03-13 14:35:31,30068,1358,15959
2024-03-13 14:35:51,30068,1359,15958
2024-03-13 14:36:11,30068,1360,15957
2024-03-13 14:36:31,30068,6627,10689
2024-03-13 14:36:51,30068,7018,10298
