timestamp,total_memory,used_memory,free_memory
2024-05-04 22:38:27,60258,1176,9262
2024-05-04 22:38:32,60258,1648,8790
2024-05-04 22:38:37,60258,2550,7889
2024-05-04 22:38:42,60258,2555,7883
2024-05-04 22:38:47,60258,2549,7890
2024-05-04 22:38:52,60258,2554,7885
2024-05-04 22:38:57,60258,2878,7561
2024-05-04 22:39:02,60258,2881,7557
2024-05-04 22:39:07,60258,2884,7554
2024-05-04 22:39:12,60258,2875,7563
2024-05-04 22:39:17,60258,2873,7565
2024-05-04 22:39:22,60258,2879,7560
2024-05-04 22:39:27,60258,2882,7556
2024-05-04 22:39:32,60258,2888,7551
2024-05-04 22:39:37,60258,2887,7552
2024-05-04 22:39:42,60258,2884,7554
2024-05-04 22:39:47,60258,2891,7547
2024-05-04 22:39:52,60258,2895,7543
2024-05-04 22:39:57,60258,3519,6920
2024-05-04 22:40:02,60258,3496,6942
2024-05-04 22:40:07,60258,3502,6937
2024-05-04 22:40:12,60258,3493,6946
2024-05-04 22:40:17,60258,3489,6950
2024-05-04 22:40:22,60258,3493,6945
2024-05-04 22:40:27,60258,3484,6954
2024-05-04 22:40:32,60258,4000,6438
2024-05-04 22:40:37,60258,4055,6383
2024-05-04 22:40:42,60258,4061,6377
2024-05-04 22:40:47,60258,4059,6379
2024-05-04 22:40:52,60258,4056,6382
2024-05-04 22:40:57,60258,4053,6385
2024-05-04 22:41:02,60258,4059,6379
2024-05-04 22:41:07,60258,4064,6374
2024-05-04 22:41:12,60258,4070,6368
2024-05-04 22:41:17,60258,4088,6350
2024-05-04 22:41:22,60258,4061,6377
2024-05-04 22:41:27,60258,4059,6379
2024-05-04 22:41:32,60258,4064,6374
2024-05-04 22:41:37,60258,4069,6369
2024-05-04 22:41:42,60258,4057,6381
2024-05-04 22:41:47,60258,4059,6379
2024-05-04 22:41:52,60258,4056,6382
2024-05-04 22:41:57,60258,4061,6377
2024-05-04 22:42:02,60258,4059,6379
2024-05-04 22:42:07,60258,4064,6374
2024-05-04 22:42:12,60258,4061,6377
2024-05-04 22:42:17,60258,4067,6372
2024-05-04 22:42:22,60258,4028,6410
2024-05-04 22:42:27,60258,4027,6411
2024-05-04 22:42:32,60258,4033,6405
2024-05-04 22:42:37,60258,4038,6400
2024-05-04 22:42:42,60258,4027,6411
2024-05-04 22:42:47,60258,4026,6412
2024-05-04 22:42:52,60258,4031,6407
2024-05-04 22:42:57,60258,4021,6417
2024-05-04 22:43:02,60258,4026,6412
2024-05-04 22:43:07,60258,4287,6151
2024-05-04 22:43:12,60258,4026,6412
2024-05-04 22:43:17,60258,4015,6423
2024-05-04 22:43:22,60258,4013,6425
2024-05-04 22:43:27,60258,4011,6427
2024-05-04 22:43:32,60258,4014,6424
2024-05-04 22:43:37,60258,4021,6417
2024-05-04 22:43:42,60258,4017,6421
2024-05-04 22:43:47,60258,4023,6415
2024-05-04 22:43:52,60258,4029,6409
2024-05-04 22:43:57,60258,4033,6405
2024-05-04 22:44:02,60258,4029,6409
2024-05-04 22:44:07,60258,4026,6412
2024-05-04 22:44:12,60258,4031,6407
2024-05-04 22:44:17,60258,4032,6406
2024-05-04 22:44:22,60258,4025,6413
2024-05-04 22:44:27,60258,4029,6408
2024-05-04 22:44:32,60258,4026,6411
2024-05-04 22:44:37,60258,4030,6408
2024-05-04 22:44:42,60258,4028,6410
2024-05-04 22:44:47,60258,4028,6410
2024-05-04 22:44:52,60258,4023,6415
2024-05-04 22:44:57,60258,4012,6426
2024-05-04 22:45:02,60258,4016,6421
2024-05-04 22:45:07,60258,4025,6413
2024-05-04 22:45:13,60258,4029,6409
2024-05-04 22:45:18,60258,4023,6415
2024-05-04 22:45:23,60258,4027,6411
2024-05-04 22:45:28,60258,4023,6414
2024-05-04 22:45:33,60258,5288,5150
2024-05-04 22:45:38,60258,5534,4903
2024-05-04 22:45:43,60258,5556,4881
2024-05-04 22:45:48,60258,5763,4674
2024-05-04 22:45:53,60258,6002,4435
2024-05-04 22:45:58,60258,5936,4501
2024-05-04 22:46:03,60258,5948,4490
2024-05-04 22:46:08,60258,5905,4532
2024-05-04 22:46:13,60258,5920,4517
2024-05-04 22:46:18,60258,5945,4492
