timestamp,total_memory,used_memory,free_memory
2024-05-01 02:43:47,60258,1215,12004
2024-05-01 02:43:52,60258,7261,5946
2024-05-01 02:43:57,60258,8391,4816
2024-05-01 02:44:02,60258,11395,1812
2024-05-01 02:44:07,60258,11381,1826
2024-05-01 02:44:12,60258,11379,1828
2024-05-01 02:44:17,60258,11363,1844
2024-05-01 02:44:22,60258,11360,1846
2024-05-01 02:44:27,60258,11358,1849
2024-05-01 02:44:32,60258,10540,2667
2024-05-01 02:44:37,60258,11413,1794
2024-05-01 02:44:42,60258,11414,1793
2024-05-01 02:44:47,60258,11420,1787
2024-05-01 02:44:52,60258,11403,1804
2024-05-01 02:44:57,60258,11386,1821
2024-05-01 02:45:02,60258,11386,1821
2024-05-01 02:45:07,60258,11451,1755
2024-05-01 02:45:12,60258,11450,1757
2024-05-01 02:45:17,60258,11458,1749
2024-05-01 02:45:22,60258,11449,1757
2024-05-01 02:45:27,60258,11454,1752
2024-05-01 02:45:32,60258,11452,1753
2024-05-01 02:45:37,60258,11709,1497
2024-05-01 02:45:42,60258,11459,1746
2024-05-01 02:45:47,60258,11452,1754
2024-05-01 02:45:52,60258,11450,1756
2024-05-01 02:45:57,60258,11454,1751
2024-05-01 02:46:02,60258,11459,1746
2024-05-01 02:46:07,60258,11311,1894
2024-05-01 02:46:12,60258,11473,1733
2024-05-01 02:46:17,60258,11479,1726
2024-05-01 02:46:22,60258,11477,1728
2024-05-01 02:46:27,60258,11482,1723
2024-05-01 02:46:32,60258,11480,1726
2024-05-01 02:46:37,60258,11485,1721
2024-05-01 02:46:42,60258,11482,1723
2024-05-01 02:46:47,60258,11487,1718
2024-05-01 02:46:52,60258,11485,1721
2024-05-01 02:46:57,60258,11483,1723
2024-05-01 02:47:02,60258,11488,1717
2024-05-01 02:47:07,60258,11486,1719
2024-05-01 02:47:12,60258,11180,2026
2024-05-01 02:47:17,60258,10665,2540
2024-05-01 02:47:22,60258,10664,2542
2024-05-01 02:47:27,60258,10661,2544
