timestamp,total_memory,used_memory,free_memory
2024-02-09 08:13:48,257726,1077,248176
2024-02-09 08:14:08,257726,1841,247411
2024-02-09 08:14:28,257726,2516,246737
2024-02-09 08:14:48,257726,2519,246733
2024-02-09 08:15:08,257726,2519,246733
2024-02-09 08:15:28,257726,2257,246995
2024-02-09 08:15:48,257726,2248,247004
2024-02-09 08:16:08,257726,2250,247003
2024-02-09 08:16:28,257726,2255,246997
2024-02-09 08:16:48,257726,2447,246805
2024-02-09 08:17:08,257726,2449,246803
2024-02-09 08:17:28,257726,2808,246444
2024-02-09 08:17:48,257726,2614,246638
2024-02-09 08:18:08,257726,2614,246638
2024-02-09 08:18:28,257726,2482,246770
2024-02-09 08:18:48,257726,2183,247072
2024-02-09 08:19:08,257726,2184,247072
2024-02-09 08:19:28,257726,2184,247072
2024-02-09 08:19:48,257726,2322,246934
2024-02-09 08:20:08,257726,2324,246932
2024-02-09 08:20:28,257726,2327,246929
2024-02-09 08:20:48,257726,2501,246755
2024-02-09 08:21:08,257726,2501,246755
2024-02-09 08:21:28,257726,2505,246751
2024-02-09 08:21:48,257726,2228,247028
2024-02-09 08:22:08,257726,2208,247048
2024-02-09 08:22:28,257726,2208,247048
2024-02-09 08:22:48,257726,2342,246914
2024-02-09 08:23:08,257726,2342,246914
2024-02-09 08:23:28,257726,2250,247006
2024-02-09 08:23:49,257726,2250,247006
2024-02-09 08:24:09,257726,2250,247005
2024-02-09 08:24:29,257726,2252,247004
2024-02-09 08:24:49,257726,2283,246973
2024-02-09 08:25:09,257726,2284,246972
2024-02-09 08:25:29,257726,2284,246972
2024-02-09 08:25:49,257726,2284,246972
2024-02-09 08:26:09,257726,2142,247113
2024-02-09 08:26:29,257726,2143,247113
2024-02-09 08:26:49,257726,2143,247112
2024-02-09 08:27:09,257726,2144,247112
2024-02-09 08:27:29,257726,2186,247070
2024-02-09 08:27:49,257726,2187,247069
2024-02-09 08:28:09,257726,2187,247069
2024-02-09 08:28:29,257726,2338,246918
2024-02-09 08:28:49,257726,2293,246963
2024-02-09 08:29:09,257726,2293,246962
2024-02-09 08:29:29,257726,2295,246960
2024-02-09 08:29:49,257726,2155,247101
2024-02-09 08:30:09,257726,2155,247100
2024-02-09 08:30:29,257726,2157,247099
2024-02-09 08:30:49,257726,2157,247099
2024-02-09 08:31:09,257726,2212,247044
2024-02-09 08:31:29,257726,2217,247038
2024-02-09 08:31:49,257726,2217,247038
2024-02-09 08:32:09,257726,2209,247047
2024-02-09 08:32:29,257726,2302,246954
2024-02-09 08:32:49,257726,2303,246952
2024-02-09 08:33:09,257726,2303,246952
2024-02-09 08:33:29,257726,2150,247105
2024-02-09 08:33:49,257726,2141,247114
2024-02-09 08:34:09,257726,2142,247114
2024-02-09 08:34:29,257726,2142,247114
2024-02-09 08:34:49,257726,2192,247064
2024-02-09 08:35:09,257726,2192,247063
2024-02-09 08:35:29,257726,2192,247063
2024-02-09 08:35:49,257726,2195,247060
2024-02-09 08:36:09,257726,2293,246962
2024-02-09 08:36:29,257726,2294,246961
2024-02-09 08:36:49,257726,2294,246961
2024-02-09 08:37:09,257726,2149,247107
2024-02-09 08:37:29,257726,2140,247115
2024-02-09 08:37:49,257726,2140,247115
2024-02-09 08:38:09,257726,2141,247115
2024-02-09 08:38:29,257726,2213,247043
2024-02-09 08:38:49,257726,2213,247042
2024-02-09 08:39:09,257726,2213,247042
2024-02-09 08:39:29,257726,2214,247041
