timestamp,total_memory,used_memory,free_memory
2023-11-27 14:52:32,251678,919,241549
2023-11-27 14:52:52,251678,1728,240739
2023-11-27 14:53:12,251678,2402,240066
2023-11-27 14:53:32,251678,2402,240065
2023-11-27 14:53:52,251678,2403,240065
2023-11-27 14:54:12,251678,2142,240325
2023-11-27 14:54:32,251678,2142,240325
2023-11-27 14:54:52,251678,2143,240325
2023-11-27 14:55:12,251678,2347,240121
2023-11-27 14:55:32,251678,2348,240119
2023-11-27 14:55:52,251678,2234,240233
2023-11-27 14:56:12,251678,2418,240049
2023-11-27 14:56:32,251678,2420,240047
2023-11-27 14:56:52,251678,2420,240047
2023-11-27 14:57:12,251678,2422,240045
2023-11-27 14:57:32,251678,2139,240328
2023-11-27 14:57:52,251678,2139,240328
2023-11-27 14:58:12,251678,2139,240328
2023-11-27 14:58:32,251678,2249,240218
2023-11-27 14:58:52,251678,2249,240218
2023-11-27 14:59:12,251678,2252,240214
2023-11-27 14:59:32,251678,2461,240006
2023-11-27 14:59:52,251678,2461,240005
2023-11-27 15:00:12,251678,2462,240005
2023-11-27 15:00:32,251678,2161,240306
2023-11-27 15:00:52,251678,2162,240304
2023-11-27 15:01:12,251678,2163,240304
2023-11-27 15:01:32,251678,2311,240156
2023-11-27 15:01:52,251678,2315,240152
2023-11-27 15:02:12,251678,2315,240151
2023-11-27 15:02:32,251678,2315,240151
2023-11-27 15:02:52,251678,2316,240150
2023-11-27 15:03:12,251678,2319,240148
2023-11-27 15:03:32,251678,2331,240136
2023-11-27 15:03:52,251678,2334,240132
2023-11-27 15:04:12,251678,2335,240132
2023-11-27 15:04:32,251678,2336,240130
2023-11-27 15:04:52,251678,2188,240278
2023-11-27 15:05:12,251678,2192,240275
2023-11-27 15:05:32,251678,2193,240274
2023-11-27 15:05:52,251678,2194,240272
2023-11-27 15:06:12,251678,2247,240219
2023-11-27 15:06:32,251678,2248,240219
2023-11-27 15:06:52,251678,2248,240218
2023-11-27 15:07:12,251678,2181,240285
2023-11-27 15:07:32,251678,2351,240115
2023-11-27 15:07:52,251678,2352,240115
2023-11-27 15:08:12,251678,2352,240114
2023-11-27 15:08:32,251678,2202,240265
2023-11-27 15:08:52,251678,2203,240263
2023-11-27 15:09:13,251678,2204,240262
2023-11-27 15:09:33,251678,2205,240262
2023-11-27 15:09:53,251678,2238,240228
2023-11-27 15:10:13,251678,2239,240228
2023-11-27 15:10:33,251678,2239,240227
2023-11-27 15:10:53,251678,2240,240226
2023-11-27 15:11:13,251678,2357,240109
2023-11-27 15:11:33,251678,2358,240108
2023-11-27 15:11:53,251678,2358,240108
2023-11-27 15:12:13,251678,2360,240106
2023-11-27 15:12:33,251678,2202,240264
2023-11-27 15:12:53,251678,2200,240267
2023-11-27 15:13:13,251678,2200,240266
2023-11-27 15:13:33,251678,2266,240200
2023-11-27 15:13:53,251678,2267,240199
2023-11-27 15:14:13,251678,2268,240198
2023-11-27 15:14:33,251678,2269,240197
2023-11-27 15:14:53,251678,2368,240098
2023-11-27 15:15:13,251678,2369,240096
2023-11-27 15:15:33,251678,2361,240105
2023-11-27 15:15:53,251678,2352,240114
2023-11-27 15:16:13,251678,2197,240269
2023-11-27 15:16:33,251678,2201,240264
2023-11-27 15:16:53,251678,2204,240262
2023-11-27 15:17:13,251678,2288,240177
2023-11-27 15:17:33,251678,2290,240175
2023-11-27 15:17:53,251678,2294,240172
2023-11-27 15:18:13,251678,2294,240171
2023-11-27 15:18:33,251678,2296,240170
2023-11-27 15:18:53,251678,2296,240169
2023-11-27 15:19:13,251678,2299,240166
2023-11-27 15:19:33,251678,2299,240166
2023-11-27 15:19:53,251678,2302,240164
2023-11-27 15:20:13,251678,2302,240163
2023-11-27 15:20:33,251678,2301,240164
2023-11-27 15:20:53,251678,2301,240164
2023-11-27 15:21:13,251678,2237,240229
2023-11-27 15:21:33,251678,2237,240228
2023-11-27 15:21:53,251678,2238,240228
2023-11-27 15:22:13,251678,2238,240227
2023-11-27 15:22:33,251678,2230,240236
2023-11-27 15:22:53,251678,2257,240208
2023-11-27 15:23:13,251678,2259,240207
2023-11-27 15:23:33,251678,2259,240206
2023-11-27 15:23:53,251678,2260,240205
2023-11-27 15:24:13,251678,2261,240204
2023-11-27 15:24:33,251678,2300,240165
2023-11-27 15:24:53,251678,2301,240164
2023-11-27 15:25:13,251678,2302,240163
2023-11-27 15:25:33,251678,2302,240163
2023-11-27 15:25:53,251678,2271,240194
2023-11-27 15:26:13,251678,2272,240193
2023-11-27 15:26:33,251678,2272,240193
2023-11-27 15:26:53,251678,2275,240190
2023-11-27 15:27:13,251678,2276,240189
2023-11-27 15:27:33,251678,2269,240196
2023-11-27 15:27:53,251678,2269,240195
2023-11-27 15:28:13,251678,2270,240195
2023-11-27 15:28:33,251678,2270,240195
2023-11-27 15:28:53,251678,2263,240202
2023-11-27 15:29:13,251678,2306,240158
2023-11-27 15:29:33,251678,2307,240157
2023-11-27 15:29:53,251678,2308,240157
2023-11-27 15:30:13,251678,2308,240157
2023-11-27 15:30:33,251678,2275,240189
2023-11-27 15:30:53,251678,2275,240189
2023-11-27 15:31:13,251678,2276,240188
2023-11-27 15:31:33,251678,2276,240188
2023-11-27 15:31:53,251678,2276,240188
2023-11-27 15:32:13,251678,2264,240200
2023-11-27 15:32:33,251678,2264,240200
2023-11-27 15:32:53,251678,2264,240200
2023-11-27 15:33:13,251678,2265,240200
2023-11-27 15:33:33,251678,2266,240198
2023-11-27 15:33:53,251678,2317,240147
2023-11-27 15:34:13,251678,2318,240147
2023-11-27 15:34:33,251678,2308,240156
2023-11-27 15:34:53,251678,2308,240156
2023-11-27 15:35:13,251678,2277,240188
2023-11-27 15:35:33,251678,2277,240187
2023-11-27 15:35:53,251678,2277,240187
2023-11-27 15:36:13,251678,2277,240187
2023-11-27 15:36:33,251678,2280,240184
2023-11-27 15:36:53,251678,2276,240188
2023-11-27 15:37:13,251678,2277,240187
2023-11-27 15:37:33,251678,2277,240187
2023-11-27 15:37:53,251678,2277,240187
2023-11-27 15:38:13,251678,2268,240196
2023-11-27 15:38:33,251678,2306,240158
2023-11-27 15:38:53,251678,2306,240158
2023-11-27 15:39:13,251678,2306,240158
2023-11-27 15:39:33,251678,2307,240158
2023-11-27 15:39:53,251678,2275,240189
2023-11-27 15:40:13,251678,2268,240196
2023-11-27 15:40:33,251678,2259,240205
2023-11-27 15:40:53,251678,2260,240204
2023-11-27 15:41:13,251678,2261,240203
2023-11-27 15:41:33,251678,2277,240187
2023-11-27 15:41:53,251678,2279,240185
2023-11-27 15:42:13,251678,2279,240185
2023-11-27 15:42:33,251678,2280,240184
2023-11-27 15:42:53,251678,2281,240183
2023-11-27 15:43:13,251678,2355,240108
2023-11-27 15:43:33,251678,2356,240108
2023-11-27 15:43:53,251678,2356,240107
2023-11-27 15:44:13,251678,2347,240117
2023-11-27 15:44:33,251678,2283,240181
2023-11-27 15:44:53,251678,2284,240180
2023-11-27 15:45:13,251678,2284,240180
2023-11-27 15:45:33,251678,2285,240179
2023-11-27 15:45:53,251678,2285,240179
2023-11-27 15:46:13,251678,2291,240172
2023-11-27 15:46:33,251678,2292,240172
2023-11-27 15:46:53,251678,2292,240172
2023-11-27 15:47:13,251678,2292,240172
2023-11-27 15:47:33,251678,2293,240171
2023-11-27 15:47:53,251678,2293,240171
2023-11-27 15:48:13,251678,2294,240170
2023-11-27 15:48:33,251678,2294,240170
2023-11-27 15:48:53,251678,2294,240170
2023-11-27 15:49:13,251678,2294,240170
2023-11-27 15:49:33,251678,2327,240137
2023-11-27 15:49:53,251678,2327,240136
2023-11-27 15:50:13,251678,2328,240136
2023-11-27 15:50:33,251678,2328,240136
2023-11-27 15:50:53,251678,2266,240197
2023-11-27 15:51:13,251678,2267,240197
2023-11-27 15:51:33,251678,2257,240206
2023-11-27 15:51:54,251678,2258,240205
2023-11-27 15:52:14,251678,2259,240205
2023-11-27 15:52:34,251678,2262,240202
2023-11-27 15:52:54,251678,2262,240201
2023-11-27 15:53:14,251678,2268,240196
2023-11-27 15:53:34,251678,2268,240196
2023-11-27 15:53:54,251678,2268,240195
2023-11-27 15:54:14,251678,2268,240195
2023-11-27 15:54:34,251678,2269,240194
2023-11-27 15:54:54,251678,2269,240194
2023-11-27 15:55:14,251678,2308,240155
2023-11-27 15:55:34,251678,2309,240154
