timestamp,total_memory,used_memory,free_memory
2023-11-27 14:52:28,251678,1180,38559
2023-11-27 14:52:48,251678,4798,34936
2023-11-27 14:53:08,251678,7615,32120
2023-11-27 14:53:28,251678,7743,31991
2023-11-27 14:53:48,251678,8735,30992
2023-11-27 14:54:08,251678,8043,31692
2023-11-27 14:54:28,251678,8498,31236
2023-11-27 14:54:48,251678,13532,26202
2023-11-27 14:55:08,251678,16642,23092
2023-11-27 14:55:28,251678,16835,22899
2023-11-27 14:55:48,251678,16838,22896
2023-11-27 14:56:08,251678,17885,21849
2023-11-27 14:56:28,251678,16923,22812
2023-11-27 14:56:48,251678,16924,22811
2023-11-27 14:57:08,251678,16924,22810
2023-11-27 14:57:28,251678,16802,22933
2023-11-27 14:57:48,251678,16804,22930
2023-11-27 14:58:08,251678,16798,22936
2023-11-27 14:58:28,251678,16838,22896
2023-11-27 14:58:48,251678,16841,22893
2023-11-27 14:59:08,251678,16719,23015
2023-11-27 14:59:28,251678,16814,22920
2023-11-27 14:59:48,251678,16815,22920
2023-11-27 15:00:08,251678,16815,22919
2023-11-27 15:00:28,251678,16816,22919
2023-11-27 15:00:48,251678,16701,23033
2023-11-27 15:01:08,251678,16703,23031
2023-11-27 15:01:28,251678,16881,22853
2023-11-27 15:01:48,251678,16726,23008
2023-11-27 15:02:08,251678,16724,23010
2023-11-27 15:02:28,251678,16725,23009
2023-11-27 15:02:48,251678,22895,16839
2023-11-27 15:03:08,251678,25966,13768
2023-11-27 15:03:28,251678,29000,10734
2023-11-27 15:03:48,251678,29076,10658
2023-11-27 15:04:08,251678,29076,10658
2023-11-27 15:04:28,251678,29079,10655
2023-11-27 15:04:48,251678,29444,10290
2023-11-27 15:05:08,251678,29006,10728
2023-11-27 15:05:28,251678,29008,10726
2023-11-27 15:05:48,251678,29010,10724
2023-11-27 15:06:08,251678,29052,10682
2023-11-27 15:06:28,251678,29054,10680
2023-11-27 15:06:48,251678,29059,10675
2023-11-27 15:07:08,251678,29062,10672
2023-11-27 15:07:28,251678,29086,10648
2023-11-27 15:07:48,251678,29078,10656
2023-11-27 15:08:08,251678,29079,10655
2023-11-27 15:08:28,251678,29080,10654
2023-11-27 15:08:48,251678,29015,10719
2023-11-27 15:09:08,251678,29016,10718
2023-11-27 15:09:28,251678,29008,10725
2023-11-27 15:09:48,251678,29014,10720
2023-11-27 15:10:08,251678,29016,10717
2023-11-27 15:10:28,251678,29017,10717
2023-11-27 15:10:49,251678,29017,10716
2023-11-27 15:11:09,251678,29072,10662
2023-11-27 15:11:29,251678,29073,10661
2023-11-27 15:11:49,251678,29075,10659
2023-11-27 15:12:09,251678,29076,10658
2023-11-27 15:12:29,251678,29021,10712
2023-11-27 15:12:49,251678,29014,10719
2023-11-27 15:13:09,251678,29015,10719
2023-11-27 15:13:29,251678,29036,10697
2023-11-27 15:13:49,251678,29040,10694
2023-11-27 15:14:09,251678,29029,10704
2023-11-27 15:14:29,251678,29030,10703
2023-11-27 15:14:49,251678,29076,10657
2023-11-27 15:15:09,251678,29080,10654
2023-11-27 15:15:29,251678,29080,10654
2023-11-27 15:15:49,251678,29081,10653
2023-11-27 15:16:09,251678,29017,10717
2023-11-27 15:16:29,251678,29018,10716
2023-11-27 15:16:49,251678,29018,10715
2023-11-27 15:17:09,251678,29034,10700
2023-11-27 15:17:29,251678,29063,10670
2023-11-27 15:17:49,251678,29064,10670
2023-11-27 15:18:09,251678,29066,10668
2023-11-27 15:18:29,251678,29068,10665
2023-11-27 15:18:49,251678,29069,10665
2023-11-27 15:19:09,251678,29069,10664
2023-11-27 15:19:29,251678,29070,10663
2023-11-27 15:19:49,251678,29066,10668
2023-11-27 15:20:09,251678,29068,10665
2023-11-27 15:20:29,251678,29070,10663
2023-11-27 15:20:49,251678,29071,10662
2023-11-27 15:21:09,251678,29024,10710
2023-11-27 15:21:29,251678,29024,10709
2023-11-27 15:21:49,251678,29015,10718
2023-11-27 15:22:09,251678,29017,10717
2023-11-27 15:22:29,251678,29017,10716
2023-11-27 15:22:49,251678,29051,10682
2023-11-27 15:23:09,251678,29052,10681
2023-11-27 15:23:29,251678,29052,10681
2023-11-27 15:23:49,251678,29054,10679
2023-11-27 15:24:09,251678,29054,10679
2023-11-27 15:24:29,251678,29066,10667
2023-11-27 15:24:49,251678,29069,10664
2023-11-27 15:25:09,251678,29070,10664
2023-11-27 15:25:29,251678,29070,10663
2023-11-27 15:25:49,251678,29024,10709
2023-11-27 15:26:09,251678,29025,10708
2023-11-27 15:26:29,251678,29026,10707
2023-11-27 15:26:49,251678,29028,10705
2023-11-27 15:27:09,251678,29028,10705
2023-11-27 15:27:29,251678,29059,10674
2023-11-27 15:27:49,251678,29061,10672
2023-11-27 15:28:09,251678,29053,10680
2023-11-27 15:28:29,251678,29054,10679
2023-11-27 15:28:49,251678,29055,10678
2023-11-27 15:29:09,251678,29062,10671
2023-11-27 15:29:29,251678,29064,10669
2023-11-27 15:29:49,251678,29059,10674
2023-11-27 15:30:09,251678,29062,10671
2023-11-27 15:30:29,251678,29020,10713
2023-11-27 15:30:49,251678,29021,10712
2023-11-27 15:31:09,251678,29021,10712
2023-11-27 15:31:29,251678,29022,10711
2023-11-27 15:31:49,251678,29025,10708
2023-11-27 15:32:09,251678,29067,10665
2023-11-27 15:32:29,251678,29068,10665
2023-11-27 15:32:49,251678,29070,10663
2023-11-27 15:33:09,251678,29074,10659
2023-11-27 15:33:29,251678,29075,10658
2023-11-27 15:33:49,251678,29068,10665
2023-11-27 15:34:09,251678,29079,10654
2023-11-27 15:34:29,251678,29074,10658
2023-11-27 15:34:49,251678,29076,10656
2023-11-27 15:35:09,251678,29029,10703
2023-11-27 15:35:29,251678,29032,10701
2023-11-27 15:35:49,251678,29032,10700
2023-11-27 15:36:09,251678,29032,10700
2023-11-27 15:36:29,251678,29034,10699
2023-11-27 15:36:49,251678,29065,10667
2023-11-27 15:37:09,251678,29066,10667
2023-11-27 15:37:29,251678,29068,10664
2023-11-27 15:37:49,251678,29069,10663
2023-11-27 15:38:09,251678,29069,10663
2023-11-27 15:38:29,251678,29066,10666
2023-11-27 15:38:49,251678,29071,10661
2023-11-27 15:39:09,251678,29072,10660
2023-11-27 15:39:29,251678,29072,10660
