timestamp,total_memory,used_memory,free_memory
2024-05-14 21:37:16,60258,1180,45509
2024-05-14 21:37:21,60258,1928,44760
2024-05-14 21:37:26,60258,3224,43465
2024-05-14 21:37:31,60258,4397,42291
2024-05-14 21:37:36,60258,5163,41526
2024-05-14 21:37:41,60258,7122,39567
2024-05-14 21:37:46,60258,7547,39141
2024-05-14 21:37:51,60258,7550,39138
2024-05-14 21:37:56,60258,7555,39133
2024-05-14 21:38:01,60258,7559,39129
2024-05-14 21:38:06,60258,7564,39125
2024-05-14 21:38:11,60258,7553,39136
2024-05-14 21:38:16,60258,7550,39138
2024-05-14 21:38:21,60258,7555,39134
2024-05-14 21:38:26,60258,7551,39137
2024-05-14 21:38:31,60258,7555,39133
2024-05-14 21:38:36,60258,7560,39128
2024-05-14 21:38:41,60258,7556,39132
2024-05-14 21:38:46,60258,7561,39127
2024-05-14 21:38:51,60258,7652,39037
2024-05-14 21:38:56,60258,8448,38240
2024-05-14 21:39:01,60258,8449,38239
2024-05-14 21:39:06,60258,8436,38252
2024-05-14 21:39:11,60258,8441,38247
2024-05-14 21:39:16,60258,8438,38250
2024-05-14 21:39:21,60258,8441,38247
2024-05-14 21:39:27,60258,12621,34067
2024-05-14 21:39:32,60258,13415,33273
2024-05-14 21:39:37,60258,14188,32500
2024-05-14 21:39:42,60258,14963,31725
2024-05-14 21:39:47,60258,15759,30929
2024-05-14 21:39:52,60258,16524,30164
2024-05-14 21:39:57,60258,16752,29936
2024-05-14 21:40:02,60258,16752,29936
2024-05-14 21:40:07,60258,16742,29946
2024-05-14 21:40:12,60258,16740,29948
2024-05-14 21:40:17,60258,16746,29942
2024-05-14 21:40:22,60258,16744,29944
2024-05-14 21:40:27,60258,16749,29939
2024-05-14 21:40:32,60258,16746,29942
2024-05-14 21:40:37,60258,16749,29939
2024-05-14 21:40:42,60258,16748,29940
2024-05-14 21:40:47,60258,16752,29936
2024-05-14 21:40:52,60258,17788,28900
2024-05-14 21:40:57,60258,16829,29859
2024-05-14 21:41:02,60258,16830,29858
2024-05-14 21:41:07,60258,16828,29860
2024-05-14 21:41:12,60258,16838,29850
2024-05-14 21:41:17,60258,16835,29853
2024-05-14 21:41:22,60258,16832,29856
2024-05-14 21:41:27,60258,16837,29851
