timestamp,total_memory,used_memory,free_memory
2024-05-18 01:30:27,120734,1180,103626
2024-05-18 01:30:32,120734,4129,100638
2024-05-18 01:30:37,120734,9479,95288
2024-05-18 01:30:42,120734,13911,90855
2024-05-18 01:30:47,120734,16898,87868
2024-05-18 01:30:52,120734,24012,80752
2024-05-18 01:30:57,120734,26664,78099
2024-05-18 01:31:02,120734,26660,78103
2024-05-18 01:31:07,120734,26661,78102
2024-05-18 01:31:12,120734,26663,78100
2024-05-18 01:31:17,120734,26664,78099
2024-05-18 01:31:22,120734,26664,78099
2024-05-18 01:31:27,120734,26669,78095
2024-05-18 01:31:32,120734,26669,78094
2024-05-18 01:31:37,120734,26666,78096
2024-05-18 01:31:42,120734,26666,78095
2024-05-18 01:31:47,120734,26667,78095
2024-05-18 01:31:52,120734,26667,78094
2024-05-18 01:31:57,120734,26662,78099
2024-05-18 01:32:02,120734,26663,78098
2024-05-18 01:32:07,120734,27091,77670
2024-05-18 01:32:12,120734,30229,74532
2024-05-18 01:32:17,120734,30229,74532
2024-05-18 01:32:22,120734,30230,74531
2024-05-18 01:32:27,120734,30230,74531
2024-05-18 01:32:32,120734,30231,74530
2024-05-18 01:32:37,120734,30680,74081
2024-05-18 01:32:42,120734,47933,56828
2024-05-18 01:32:47,120734,50978,53783
2024-05-18 01:32:52,120734,54002,50759
2024-05-18 01:32:57,120734,56999,47761
2024-05-18 01:33:02,120734,60014,44747
2024-05-18 01:33:07,120734,63058,41703
2024-05-18 01:33:12,120734,63452,41308
2024-05-18 01:33:17,120734,63656,41047
2024-05-18 01:33:22,120734,63662,41030
2024-05-18 01:33:27,120734,63677,41015
2024-05-18 01:33:32,120734,63647,41045
2024-05-18 01:33:37,120734,63648,41044
2024-05-18 01:33:42,120734,63615,41077
2024-05-18 01:33:47,120734,63616,41076
2024-05-18 01:33:52,120734,63611,41081
2024-05-18 01:33:57,120734,63611,41080
2024-05-18 01:34:02,120734,63612,41079
2024-05-18 01:34:07,120734,67614,37077
2024-05-18 01:34:12,120734,63919,40773
2024-05-18 01:34:17,120734,63921,40771
2024-05-18 01:34:22,120734,63921,40770
2024-05-18 01:34:27,120734,63923,40768
2024-05-18 01:34:32,120734,63924,40768
2024-05-18 01:34:37,120734,63925,40767
2024-05-18 01:34:42,120734,63929,40762
2024-05-18 01:34:47,120734,63930,40761
2024-05-18 01:34:52,120734,63931,40761
2024-05-18 01:34:57,120734,63932,40760
2024-05-18 01:35:02,120734,63933,40759
2024-05-18 01:35:07,120734,63935,40757
2024-05-18 01:35:12,120734,63936,40756
2024-05-18 01:35:17,120734,63936,40756
2024-05-18 01:35:22,120734,65132,39560
2024-05-18 01:35:27,120734,63464,41228
2024-05-18 01:35:32,120734,63464,41228
2024-05-18 01:35:37,120734,63464,41227
2024-05-18 01:35:42,120734,63465,41226
2024-05-18 01:35:47,120734,63466,41225
2024-05-18 01:35:52,120734,63467,41224
2024-05-18 01:35:57,120734,63467,41224
2024-05-18 01:36:02,120734,63469,41223
2024-05-18 01:36:07,120734,63469,41222
2024-05-18 01:36:12,120734,63470,41222
2024-05-18 01:36:17,120734,63464,41227
2024-05-18 01:36:22,120734,63603,41088
2024-05-18 01:36:27,120734,63605,41087
2024-05-18 01:36:32,120734,63605,41086
2024-05-18 01:36:37,120734,63606,41086
2024-05-18 01:36:42,120734,63606,41085
2024-05-18 01:36:47,120734,63606,41085
2024-05-18 01:36:52,120734,63607,41084
2024-05-18 01:36:57,120734,63608,41083
2024-05-18 01:37:02,120734,63609,41082
2024-05-18 01:37:07,120734,63603,41089
2024-05-18 01:37:12,120734,63603,41088
2024-05-18 01:37:17,120734,66620,38071
2024-05-18 01:37:22,120734,63902,40789
2024-05-18 01:37:27,120734,63907,40784
2024-05-18 01:37:32,120734,63908,40783
2024-05-18 01:37:37,120734,63909,40782
2024-05-18 01:37:42,120734,63910,40781
2024-05-18 01:37:47,120734,63911,40780
2024-05-18 01:37:52,120734,63912,40779
2024-05-18 01:37:57,120734,63912,40779
2024-05-18 01:38:02,120734,63912,40778
2024-05-18 01:38:07,120734,63913,40777
2024-05-18 01:38:12,120734,63914,40777
2024-05-18 01:38:17,120734,63827,40864
2024-05-18 01:38:22,120734,63827,40864
2024-05-18 01:38:27,120734,63827,40864
2024-05-18 01:38:32,120734,63969,40722
2024-05-18 01:38:37,120734,63435,41256
2024-05-18 01:38:43,120734,63436,41255
2024-05-18 01:38:48,120734,63436,41254
2024-05-18 01:38:53,120734,63437,41254
2024-05-18 01:38:58,120734,63437,41253
2024-05-18 01:39:03,120734,63438,41253
2024-05-18 01:39:08,120734,63439,41252
2024-05-18 01:39:13,120734,63434,41257
2024-05-18 01:39:18,120734,63435,41256
2024-05-18 01:39:23,120734,63422,41269
2024-05-18 01:39:28,120734,63423,41268
2024-05-18 01:39:33,120734,67412,37278
2024-05-18 01:39:38,120734,63547,41144
2024-05-18 01:39:43,120734,63549,41141
2024-05-18 01:39:48,120734,63549,41141
2024-05-18 01:39:53,120734,63551,41140
2024-05-18 01:39:58,120734,63552,41139
2024-05-18 01:40:03,120734,63543,41148
2024-05-18 01:40:08,120734,63535,41155
2024-05-18 01:40:13,120734,63531,41160
2024-05-18 01:40:18,120734,63532,41159
2024-05-18 01:40:23,120734,63532,41159
2024-05-18 01:40:28,120734,63532,41158
2024-05-18 01:40:33,120734,63533,41158
2024-05-18 01:40:38,120734,80651,24039
2024-05-18 01:40:43,120734,83564,21126
2024-05-18 01:40:48,120734,86549,18141
2024-05-18 01:40:53,120734,89627,15064
2024-05-18 01:40:58,120734,92574,12117
2024-05-18 01:41:03,120734,95528,9162
2024-05-18 01:41:08,120734,98519,6171
2024-05-18 01:41:13,120734,101428,3263
2024-05-18 01:41:18,120734,104438,1468
2024-05-18 01:41:23,120734,107262,1444
2024-05-18 01:41:28,120734,110208,1603
2024-05-18 01:41:33,120734,113065,1537
2024-05-18 01:41:38,120734,112951,6628
2024-05-18 01:41:43,120734,112859,6720
2024-05-18 01:41:48,120734,112861,6718
2024-05-18 01:41:53,120734,112863,6716
2024-05-18 01:41:58,120734,112864,6715
2024-05-18 01:42:03,120734,112856,6723
2024-05-18 01:42:08,120734,112850,6718
2024-05-18 01:42:13,120734,112850,6717
2024-05-18 01:42:18,120734,112851,6716
2024-05-18 01:42:23,120734,112852,6716
2024-05-18 01:42:28,120734,112852,6715
2024-05-18 01:42:33,120734,112853,6714
2024-05-18 01:42:38,120734,112853,6714
2024-05-18 01:42:43,120734,112854,6713
2024-05-18 01:42:48,120734,112855,6713
2024-05-18 01:42:53,120734,114081,5487
2024-05-18 01:42:58,120734,112617,6950
2024-05-18 01:43:03,120734,112618,6949
2024-05-18 01:43:08,120734,112619,6948
2024-05-18 01:43:13,120734,112620,6948
2024-05-18 01:43:18,120734,112621,6946
2024-05-18 01:43:23,120734,112622,6945
2024-05-18 01:43:28,120734,112623,6945
2024-05-18 01:43:33,120734,112623,6944
2024-05-18 01:43:38,120734,112619,6949
2024-05-18 01:43:43,120734,112619,6948
2024-05-18 01:43:48,120734,112619,6948
2024-05-18 01:43:53,120734,112620,6947
2024-05-18 01:43:58,120734,112620,6947
2024-05-18 01:44:03,120734,112621,6946
2024-05-18 01:44:08,120734,113194,6374
2024-05-18 01:44:13,120734,112752,6815
2024-05-18 01:44:18,120734,112754,6814
2024-05-18 01:44:23,120734,112755,6812
2024-05-18 01:44:28,120734,112756,6811
2024-05-18 01:44:33,120734,112747,6820
2024-05-18 01:44:38,120734,112741,6826
2024-05-18 01:44:43,120734,112737,6831
2024-05-18 01:44:48,120734,112737,6830
2024-05-18 01:44:53,120734,112738,6829
2024-05-18 01:44:58,120734,112738,6829
2024-05-18 01:45:03,120734,112732,6835
2024-05-18 01:45:08,120734,112724,6843
2024-05-18 01:45:13,120734,112725,6842
2024-05-18 01:45:18,120734,112839,6728
2024-05-18 01:45:23,120734,114031,5536
2024-05-18 01:45:28,120734,112860,6707
2024-05-18 01:45:33,120734,112862,6705
2024-05-18 01:45:38,120734,112855,6712
2024-05-18 01:45:43,120734,112856,6711
2024-05-18 01:45:48,120734,112857,6710
2024-05-18 01:45:53,120734,112857,6710
2024-05-18 01:45:58,120734,112848,6719
2024-05-18 01:46:03,120734,112850,6717
2024-05-18 01:46:08,120734,112850,6717
2024-05-18 01:46:13,120734,112851,6716
2024-05-18 01:46:18,120734,112852,6715
2024-05-18 01:46:23,120734,112852,6715
2024-05-18 01:46:28,120734,112853,6714
2024-05-18 01:46:33,120734,112855,6712
2024-05-18 01:46:38,120734,114358,5209
2024-05-18 01:46:43,120734,112606,6961
2024-05-18 01:46:48,120734,112607,6960
2024-05-18 01:46:53,120734,112608,6959
2024-05-18 01:46:58,120734,112608,6959
2024-05-18 01:47:03,120734,112603,6963
2024-05-18 01:47:08,120734,112604,6963
2024-05-18 01:47:13,120734,112604,6962
2024-05-18 01:47:18,120734,112604,6962
2024-05-18 01:47:23,120734,112605,6962
2024-05-18 01:47:28,120734,112606,6961
2024-05-18 01:47:33,120734,112606,6961
2024-05-18 01:47:38,120734,112607,6960
2024-05-18 01:47:43,120734,112607,6959
2024-05-18 01:47:48,120734,112607,6959
2024-05-18 01:47:53,120734,112728,6838
2024-05-18 01:47:58,120734,112723,6844
2024-05-18 01:48:03,120734,112724,6843
2024-05-18 01:48:08,120734,112724,6842
2024-05-18 01:48:13,120734,112725,6842
2024-05-18 01:48:18,120734,112726,6841
2024-05-18 01:48:23,120734,112726,6840
2024-05-18 01:48:28,120734,112727,6839
2024-05-18 01:48:33,120734,112728,6839
2024-05-18 01:48:38,120734,112728,6838
2024-05-18 01:48:43,120734,112729,6837
2024-05-18 01:48:48,120734,112730,6837
2024-05-18 01:48:53,120734,112730,6836
2024-05-18 01:48:58,120734,112731,6835
2024-05-18 01:49:03,120734,115809,3757
2024-05-18 01:49:08,120734,112885,6681
2024-05-18 01:49:13,120734,112889,6677
2024-05-18 01:49:19,120734,112890,6676
2024-05-18 01:49:24,120734,112890,6675
2024-05-18 01:49:29,120734,112891,6674
2024-05-18 01:49:34,120734,112892,6674
2024-05-18 01:49:39,120734,112885,6681
2024-05-18 01:49:44,120734,112885,6680
2024-05-18 01:49:49,120734,112881,6685
2024-05-18 01:49:54,120734,112881,6684
2024-05-18 01:49:59,120734,112882,6684
2024-05-18 01:50:04,120734,112882,6683
2024-05-18 01:50:09,120734,112883,6682
2024-05-18 01:50:14,120734,112884,6682
2024-05-18 01:50:19,120734,112884,6681
2024-05-18 01:50:24,120734,113899,5666
2024-05-18 01:50:29,120734,112626,6940
2024-05-18 01:50:34,120734,112626,6939
2024-05-18 01:50:39,120734,112627,6938
2024-05-18 01:50:44,120734,112628,6937
2024-05-18 01:50:49,120734,112629,6937
2024-05-18 01:50:54,120734,112628,6937
2024-05-18 01:50:59,120734,112628,6937
2024-05-18 01:51:04,120734,112628,6937
2024-05-18 01:51:09,120734,112618,6947
2024-05-18 01:51:14,120734,112618,6947
2024-05-18 01:51:19,120734,112618,6947
2024-05-18 01:51:24,120734,112618,6947
2024-05-18 01:51:29,120734,112619,6947
2024-05-18 01:51:34,120734,112683,6882
2024-05-18 01:51:39,120734,112735,6831
2024-05-18 01:51:44,120734,112734,6831
2024-05-18 01:51:49,120734,112735,6830
2024-05-18 01:51:54,120734,112736,6829
2024-05-18 01:51:59,120734,112737,6828
2024-05-18 01:52:04,120734,112737,6828
2024-05-18 01:52:09,120734,112732,6833
2024-05-18 01:52:14,120734,112733,6832
2024-05-18 01:52:19,120734,112734,6832
2024-05-18 01:52:24,120734,112734,6831
2024-05-18 01:52:29,120734,112734,6831
2024-05-18 01:52:34,120734,112735,6830
2024-05-18 01:52:39,120734,112735,6830
2024-05-18 01:52:44,120734,112736,6829
2024-05-18 01:52:49,120734,117192,2373
2024-05-18 01:52:54,120734,112887,6677
2024-05-18 01:52:59,120734,112888,6677
2024-05-18 01:53:04,120734,112880,6684
2024-05-18 01:53:09,120734,112873,6692
2024-05-18 01:53:14,120734,112870,6695
