timestamp,total_memory,used_memory,free_memory
2023-11-23 10:24:24,251678,1145,241363
2023-11-23 10:24:44,251678,1727,240781
2023-11-23 10:25:04,251678,1696,240813
2023-11-23 10:25:24,251678,1548,240960
2023-11-23 10:25:44,251678,1566,240942
2023-11-23 10:26:04,251678,1566,240942
2023-11-23 10:26:24,251678,1498,241010
2023-11-23 10:26:44,251678,1531,240978
2023-11-23 10:27:04,251678,1519,240989
2023-11-23 10:27:24,251678,1521,240987
2023-11-23 10:27:44,251678,1532,240976
2023-11-23 10:28:04,251678,1527,240981
2023-11-23 10:28:24,251678,1514,240994
2023-11-23 10:28:44,251678,1514,240994
2023-11-23 10:29:04,251678,1520,240988
2023-11-23 10:29:24,251678,1523,240985
2023-11-23 10:29:44,251678,1527,240981
2023-11-23 10:30:04,251678,1523,240985
2023-11-23 10:30:24,251678,1434,241074
2023-11-23 10:30:44,251678,1425,241083
2023-11-23 10:31:04,251678,1425,241083
2023-11-23 10:31:24,251678,5030,237478
2023-11-23 10:31:44,251678,6660,235848
2023-11-23 10:32:04,251678,7054,235453
