procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 212224 28932772  84612 743556  591  530  1213  1305   91   52  2  1 96  1  0
18  0 212224 28456268  84752 780536    0    0 37032     0 4626 6323 81  8  0 11  0
64  0 212224 28108332  84752 807932    4    0 26964     0 3916 5091 82  9  0  8  0
49  0 212224 27709416  84752 807932    0    0     0     0 2194 2505 96  4  0  0  0
32  0 212224 26930764  84752 807932    0    0     0     0 2202 1772 88 12  0  0  0
31  0 212224 25868064  84760 807932    0    0     0    32 2174 1366 88 12  0  0  0
21  0 212224 24523004  84768 807936    0    0     0   100 2167 1137 76 24  0  0  0
23  0 212224 23426428  84768 807936    0    0     0     0 2105 1032 77 23  0  0  0
 8  0 212224 22558252  84768 807964    0    0    64     0 2479 1083 73 27  0  0  0
16  0 212224 22113456  84768 808084    0    0     0     0 2592  954 78 10 13  0  0
11  0 212224 20959872  84776 808084    0    0     0    24 13508 2696 73 27  0  0  0
 0  0 212224 21504124  84784 808084    0    0     0    16 31525 5204 26 20 53  0  0
 0  0 212224 21503908  84784 808084    0    0     0     0  230  198  0  0 100  0  0
 0  0 212224 21503908  84784 808084    0    0     0     0  148  210  0  0 100  0  0
 0  0 212224 21503908  84784 808084    0    0     0     0  183  226  0  0 100  0  0
 0  0 212224 21503404  84792 808084    0    0     0    16  204  253  0  0 100  0  0
 0  0 212224 21503404  84800 808084    0    0     0    16  128  178  0  0 100  0  0
 0  0 212224 21503404  84800 808084    0    0     0     0  136  175  0  0 100  0  0
 1  0 212224 21500356  84828 808056    0    0     0     0 3093 3001  1  1 99  0  0
 0  0 212224 20993108  84856 808148    0    0     0     0 3016 1320 13 10 77  0  0
 1  0 212224 20859520  84916 808132    0    0     0    20 4436 2738 11  5 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 212224 20293064  85048 808252    0    0     0     0 13775 9827 31 16 53  0  0
 7  0 212224 19290104  85252 808428    0    0    20   328 12193 7735 72 20  8  0  0
 0  0 212224 18149812  85252 808468    0    0     0     0 8898 1045 25 26 49  0  0
 0  0 212224 18256520  85252 808468    0    0     0     4 1582  306  0  0 100  0  0
 0  0 212224 18256268  85252 808468    0    0     0   244  203  206  0  0 100  0  0
 0  0 212224 18399172  85252 808468    0    0     0     0 3888  251  0  0 100  0  0
 0  0 212224 18398668  85260 808468    0    0     0   224  125  171  0  0 100  0  0
 0  0 212224 18398668  85268 808460    0    0     0    32  166  242  0  0 100  0  0
 0  0 212224 18398416  85268 808468    0    0     0     0  111  166  0  0 100  0  0
 0  0 212224 18398416  85268 808468    0    0     0     0  124  195  0  0 100  0  0
 0  0 212224 18398416  85272 808468    0    0     4     4  142  197  0  0 100  0  0
 0  0 212224 18398416  85272 808468    0    0     0     0  120  163  0  0 100  0  0
 0  0 212224 18398416  85288 808468    0    0     0    36  181  243  0  0 100  0  0
 0  0 212224 18398164  85288 808468    0    0     0     0  121  183  0  0 100  0  0
 0  0 212224 18398164  85288 808468    0    0     0     0  130  178  0  0 100  0  0
 0  0 212224 18398164  85288 808468    0    0     0   508  123  167  0  0 100  0  0
 0  0 212224 18398164  85288 808468    0    0     0     0  122  164  0  0 100  0  0
 0  0 212224 18398164  85296 808468    0    0     0    16  160  233  0  0 100  0  0
 0  0 212224 18398164  85304 808468    0    0     0    12  134  178  0  0 100  0  0
 0  0 212224 18398164  85304 808468    0    0     0     0  114  169  0  0 100  0  0
 0  0 212224 18398164  85304 808468    0    0     0    92  137  184  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 212224 18398164  85304 808468    0    0     0     0  139  188  0  0 100  0  0
 0  0 212224 18398164  85312 808468    0    0     0    16  156  225  0  0 100  0  0
 0  0 212224 18397660  85312 808476    0    0     0     0  122  167  0  0 100  0  0
 0  0 212224 18397660  85320 808476    0    0     0    24  158  201  0  0 100  0  0
 0  0 212224 18397660  85320 808476    0    0     0     0  123  178  0  0 100  0  0
 0  0 212224 18397660  85320 808476    0    0     0     0  128  173  0  0 100  0  0
 0  0 212224 18397660  85328 808476    0    0     0    16  171  233  0  0 100  0  0
 0  0 212224 18397408  85328 808476    0    0     0     0  126  172  0  0 100  0  0
 0  0 212224 18397408  85328 808476    0    0     0     0  137  185  0  0 100  0  0
 0  0 212224 18397408  85336 808476    0    0     0    12  128  183  0  0 100  0  0
 0  0 212224 18397408  85336 808476    0    0     0    88  131  175  0  0 100  0  0
 0  0 212224 18397408  85344 808476    0    0     0    20  211  325  0  0 100  0  0
 0  0 212224 18397408  85344 808476    0    0     0     0  134  182  0  0 100  0  0
 0  0 212224 18397408  85344 808476    0    0     0     0  127  181  0  0 100  0  0
 0  0 212224 18397408  85344 808476    0    0     0   164  122  176  0  0 100  0  0
 0  0 212224 18397408  85352 808476    0    0     0    84  159  202  0  0 100  0  0
 0  0 212224 18397408  85360 808476    0    0     0    24  189  249  0  0 100  0  0
 0  0 212224 18397408  85360 808476    0    0     0     0  128  182  0  0 100  0  0
 0  0 212224 18397408  85360 808476    0    0     0     0  126  164  0  0 100  0  0
 0  0 212224 18397408  85360 808476    0    0     0     0  124  179  0  0 100  0  0
 0  0 212224 18397156  85368 808480    0    0     0    48  144  203  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 212224 18397156  85376 808472    0    0     0    16  150  209  0  0 100  0  0
 0  0 212224 18397156  85376 808472    0    0     0     0  156  190  0  0 100  0  0
 0  0 212224 18397156  85376 808480    0    0     0     0  136  181  0  0 100  0  0
 0  0 212224 18397156  85376 808480    0    0     0     0  122  177  0  0 100  0  0
 0  0 212224 18397156  85384 808480    0    0     0    12  145  189  0  0 100  0  0
 0  0 212224 18397156  85392 808480    0    0     0    16  219  311  0  0 100  0  0
 0  0 212224 18397156  85392 808480    0    0     0     0  123  178  0  0 100  0  0
 0  0 212224 18397156  85392 808480    0    0     0     0  131  184  0  0 100  0  0
 0  0 212224 18397156  85392 808480    0    0     0     0  127  174  0  0 100  0  0
 0  0 212224 18397156  85392 808480    0    0     0    56  124  174  0  0 100  0  0
 0  0 212224 18397156  85408 808480    0    0     0    28  176  229  0  0 100  0  0
 0  0 212224 18397156  85408 808480    0    0     0     0  129  182  0  0 100  0  0
