timestamp,total_memory,used_memory,free_memory
2023-11-23 05:39:16,60268,4989,51724
2023-11-23 05:39:21,60268,5886,50828
2023-11-23 05:39:36,60268,8569,48145
2023-11-23 05:39:41,60268,10620,46094
2023-11-23 05:39:56,60268,10807,45906
2023-11-23 05:40:01,60268,10804,45910
2023-11-23 05:40:16,60268,10798,45915
2023-11-23 05:40:21,60268,10793,45920
2023-11-23 05:40:36,60268,10792,45921
2023-11-23 05:40:41,60268,10792,45921
2023-11-23 05:40:56,60268,12573,44141
2023-11-23 05:41:01,60268,15359,41355
2023-11-23 05:41:16,60268,5083,51631
2023-11-23 05:41:21,60268,6497,50216
2023-11-23 05:41:36,60268,9720,46993
2023-11-23 05:41:41,60268,10944,45769
2023-11-23 05:41:56,60268,10816,45898
2023-11-23 05:42:01,60268,10814,45899
2023-11-23 05:42:16,60268,10799,45914
2023-11-23 05:42:21,60268,10799,45915
2023-11-23 05:42:36,60268,10808,45905
2023-11-23 05:42:41,60268,10802,45911
2023-11-23 05:42:56,60268,14979,41735
2023-11-23 05:43:01,60268,15591,41122
2023-11-23 05:43:16,60268,5425,51269
2023-11-23 05:43:21,60268,5523,51165
2023-11-23 05:43:36,60268,5481,51205
2023-11-23 05:43:41,60268,5475,51211
2023-11-23 05:43:56,60268,5452,51225
2023-11-23 05:44:01,60268,5586,51088
2023-11-23 05:44:16,60268,6051,50620
2023-11-23 05:44:21,60268,6087,50583
2023-11-23 05:44:36,60268,6086,50585
2023-11-23 05:44:41,60268,6088,50588
2023-11-23 05:44:56,60268,6091,50580
2023-11-23 05:45:01,60268,6092,50579
2023-11-23 05:45:16,60268,6088,50577
2023-11-23 05:45:21,60268,6091,50573
2023-11-23 05:45:36,60268,6095,50569
2023-11-23 05:45:41,60268,6087,50578
2023-11-23 05:45:56,60268,6110,50554
2023-11-23 05:46:01,60268,6082,50594
2023-11-23 05:46:16,60268,6089,50581
2023-11-23 05:46:21,60268,6089,50581
2023-11-23 05:46:36,60268,6092,50578
2023-11-23 05:46:41,60268,6085,50585
2023-11-23 05:46:56,60268,6088,50582
2023-11-23 05:47:01,60268,6079,50591
2023-11-23 05:47:16,60268,6087,50577
2023-11-23 05:47:21,60268,6073,50585
2023-11-23 05:47:36,60268,6082,50576
2023-11-23 05:47:41,60268,6085,50573
2023-11-23 05:47:56,60268,6087,50571
2023-11-23 05:48:01,60268,6085,50573
