timestamp,total_memory,used_memory,free_memory
2024-02-05 19:45:18,257726,1679,245845
2024-02-05 19:45:23,257726,2404,245120
2024-02-05 19:45:33,257726,4883,242641
2024-02-05 19:45:38,257726,5693,241830
2024-02-05 19:45:43,257726,7696,239828
2024-02-05 19:45:53,257726,8129,239394
2024-02-05 19:45:58,257726,8124,239400
2024-02-05 19:46:03,257726,8139,239384
2024-02-05 19:46:13,257726,8130,239394
2024-02-05 19:46:18,257726,8133,239390
2024-02-05 19:46:23,257726,8111,239412
2024-02-05 19:46:33,257726,8108,239415
2024-02-05 19:46:38,257726,8123,239400
2024-02-05 19:46:43,257726,8118,239405
2024-02-05 19:46:53,257726,8546,238977
2024-02-05 19:46:58,257726,8992,238531
2024-02-05 19:47:03,257726,9000,238524
2024-02-05 19:47:13,257726,9005,238518
2024-02-05 19:47:18,257726,9022,238502
2024-02-05 19:47:23,257726,9222,238301
2024-02-05 19:47:33,257726,14208,233316
2024-02-05 19:47:38,257726,15004,232520
2024-02-05 19:47:43,257726,15812,231711
2024-02-05 19:47:53,257726,17476,230048
2024-02-05 19:47:58,257726,17301,230222
2024-02-05 19:48:03,257726,17307,230216
2024-02-05 19:48:13,257726,17312,230211
2024-02-05 19:48:18,257726,17313,230210
2024-02-05 19:48:23,257726,17300,230223
2024-02-05 19:48:33,257726,16446,231077
2024-02-05 19:48:38,257726,16447,231076
2024-02-05 19:48:43,257726,16438,231085
2024-02-05 19:48:53,257726,17543,229980
2024-02-05 19:48:58,257726,16520,231003
2024-02-05 19:49:03,257726,16521,231003
2024-02-05 19:49:13,257726,16521,231002
2024-02-05 19:49:18,257726,16522,231001
2024-02-05 19:49:23,257726,16523,231000
2024-02-05 19:49:33,257726,16523,231000
2024-02-05 19:49:38,257726,16524,230999
2024-02-05 19:49:43,257726,16524,230999
2024-02-05 19:49:53,257726,16524,230999
2024-02-05 19:49:58,257726,16526,230997
2024-02-05 19:50:03,257726,16845,230678
2024-02-05 19:50:13,257726,16404,231120
2024-02-05 19:50:18,257726,16404,231119
