timestamp,total_memory,used_memory,free_memory
2024-03-13 14:54:25,120734,889,109582
2024-03-13 14:54:45,120734,2336,108135
2024-03-13 14:55:05,120734,2662,107809
2024-03-13 14:55:25,120734,2612,107859
2024-03-13 14:55:45,120734,2609,107862
2024-03-13 14:56:05,120734,3209,107261
2024-03-13 14:56:25,120734,3691,106779
2024-03-13 14:56:45,120734,3791,106679
2024-03-13 14:57:05,120734,3793,106677
2024-03-13 14:57:25,120734,3794,106676
2024-03-13 14:57:45,120734,3795,106675
2024-03-13 14:58:05,120734,3799,106672
2024-03-13 14:58:25,120734,3766,106705
2024-03-13 14:58:45,120734,3766,106704
2024-03-13 14:59:05,120734,3767,106703
2024-03-13 14:59:25,120734,3770,106701
2024-03-13 14:59:45,120734,3772,106699
2024-03-13 15:00:05,120734,3772,106698
2024-03-13 15:00:25,120734,3680,106790
2024-03-13 15:00:45,120734,3669,106801
2024-03-13 15:01:05,120734,3670,106800
2024-03-13 15:01:25,120734,6852,103618
2024-03-13 15:01:45,120734,13234,97236
2024-03-13 15:02:05,120734,11960,98510
