procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0 185992 29103360  86352 628828  940 1207  1076  1404   77   95  7  1 89  2  0
17  0 185992 28610228  86484 664744    0    0 37088     0 5037 6894 79  9  0 12  0
49  0 185736 28230520  86484 693208   20    0 26924     0 3833 4642 88  6  0  6  0
22  0 185736 27494496  86484 693208    0    0     0     0 2226 1955 89 11  0  0  0
23  0 185736 26224228  86492 693212   36    0    36    12 2249 2033 81 19  0  0  0
21  0 185480 24695732  86492 693184    4    0     4     0 2184 1233 77 23  0  0  0
20  0 185480 23414888  86500 693184    0    0     0   212 2126 1036 74 26  0  0  0
 0  0 185480 22824264  86500 693184   12    0    12     0 1780 1020 51 20 29  0  0
 0  0 185480 22823540  86500 693184    0    0     0     0  293  275  0  0 100  0  0
 0  0 185480 22823316  86508 693176    0    0   148    20 1113  678  0  0 100  0  0
 2  0 185480 22729784  86508 693332    0    0     0     0 8150 7335  1  3 97  0  0
 9  0 185480 21958556  86516 693408    0    0    76    24 33542 28870 36 19 44  0  0
16  0 185480 21156332  86516 693408    0    0     0    76 22910 26775 82 18  0  0  0
16  0 185480 20353300  86516 693408    0    0     0     0 2358 1767 91  9  0  0  0
16  0 185480 20147352  86524 693408    0    0     0    16 2203 1177 98  2  0  0  0
16  0 185480 20146672  86524 693408    0    0     0     0 2067  680 100  0  0  0  0
16  0 185480 20146672  86532 693400    0    0     0    16 2045  652 100  0  0  0  0
16  0 185480 20158396  86532 693408    0    0     0    60 2102  774 100  0  0  0  0
16  0 185480 20072212  86532 693408    0    0     0     0 2065  699 99  1  0  0  0
16  0 185480 19579132  86596 693480    0    0    24    20 4045 1013 94  7  0  0  0
16  0 185480 18959924  86624 693452    0    0     0     0 7730  801 94  7  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0 185480 17767508  86708 693436    0    0     0   168 7501 1076 88 12  0  0  0
16  0 185480 15238908  86976 693520    0    0   132    28 15888 1961 73 27  0  0  0
16  0 185480 13358924  86976 693944    0    0     0   320 13064 1160 80 20  0  0  0
16  0 185480 11519976  86976 693944    0    0     0     4 25521 1055 82 18  0  0  0
16  0 185480 10101432  86976 693944    0    0     0     0 2369 1337 85 15  0  0  0
15  0 185480 8852580  86984 693936    0    0     0   332 2831 2256 84 16  0  0  0
16  0 185480 7668588  86984 693944    0    0     0     0 6186 6889 81 19  0  0  0
16  0 185480 6964300  86992 693944    0    0     0   764 2051  639 94  6  0  0  0
16  0 185480 6964300  86992 693944    0    0     0     0 2028  594 100  0  0  0  0
16  0 185480 6964300  86992 693944    0    0     0     0 2070  675 100  0  0  0  0
16  0 185480 6964300  86992 693944    0    0     0     0 2025  580 100  0  0  0  0
16  0 185480 6964300  87000 693944    0    0     0    16 2024  588 100  0  0  0  0
16  0 185480 6964300  87008 693944    0    0     0    24 2055  662 100  0  0  0  0
16  0 185480 6964300  87008 693944    0    0     0    16 2030  586 100  0  0  0  0
16  0 185480 6964300  87008 693944    0    0     0     0 2037  611 100  0  0  0  0
16  0 185480 6964300  87008 693944    0    0     0     0 2022  573 100  0  0  0  0
16  0 185480 6964300  87008 693944    0    0     0     0 2031  591 100  0  0  0  0
16  0 185480 6964300  87024 693944    0    0     0    36 2049  604 100  0  0  0  0
16  0 185480 6964300  87024 693944    0    0     0    36 2029  591 100  0  0  0  0
16  0 185480 6964300  87024 693944    0    0     0     4 2035  599 100  0  0  0  0
16  0 185480 6964300  87024 693944    0    0     0     0 2040  604 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0 185480 6964300  87024 693944    0    0     0     0 2025  576 100  0  0  0  0
16  0 185480 6964300  87032 693944    0    0     0    24 2037  620 100  0  0  0  0
16  0 185480 6963796  87040 693948    0    0     0    12 2030  594 100  0  0  0  0
